grant_year,Chemical,Computers and communications,Drugs and medical,Electrical and electronic,Mechanical
1980,5254,1576,1440,3802,5316
1981,5574,1426,1369,3847,5489
1982,4073,1558,1173,3555,4367
1983,3545,1271,1001,3150,4155
1984,3968,1381,1205,3570,4713
1985,3776,1483,1222,3594,4988
1986,3164,1430,1230,3210,4789
1987,3292,1731,1441,4013,5016
1988,2969,1435,1268,3087,4333
1989,3297,1709,1494,3523,4416
1990,3165,1552,1388,3152,3851
1991,3295,1534,1469,3189,3783
1992,3033,1413,1368,2937,3355
1993,2861,1538,1346,2609,2999
1994,2621,1522,1191,2677,2618
1995,2245,1441,1243,2598,2378
1996,2071,1514,1524,2512,2485
1997,2124,1432,1894,2257,2225
1998,2524,2112,2289,2917,2558
1999,2587,2054,2240,3122,2602
2000,2178,1869,1841,3010,2301
2001,2173,1943,1764,2832,2044
2002,1857,1758,1438,2607,1755
2003,1425,1680,1160,2301,1471
2004,1232,1672,884,2244,1231
2005,851,1409,733,1809,951
2006,885,1961,791,2003,1098
2007,841,2193,795,2098,1031
2008,864,2742,676,2232,1058
2009,888,3453,764,2673,1066
2010,1346,5126,1009,3858,1504
